
t,Theatre1,Hyderabad,Movie1,40-41
t,Theatre1,Hyderabad,Movie1,15
ARK,Theatre1,Hyderabad,Movie1,1-0-26-27
ARK,Theatre1,Hyderabad,Movie1,43
ARK,Theatre1,Hyderabad,Movie1,44
suhasini,Theatre1,Hyderabad,Movie1,23-24
vijay,Theatre1,Hyderabad,Movie1,13
t,TheatreN,warangal,Movie5,34
akki,TheatreN,warangal,Movie8,13
Sree,Theatre4,Mumbai,Movie6,13
t,Theatre3,Pune,Movie5,23
t,Theatre3,Pune,Movie5,14
akhi,Theatre7,vizag,Movie1,28-42-35-5
vish,Theatre1,Hyderabad,Movie2,34-35-33
vish,Theatre8,nizambad,Movie1,33-34
vish,TheatreN,warangal,Movie9,39-40
Sree,TheatreN,warangal,Movie5,35-36
Sree,Theatre3,Pune,Movie5,34-35
